task,domain,subdomain
Unprimeable numbers,Mathematics,Number Theory
Update a configuration file,Systems Programming and File I/O,File Operations
Use another language to call a function,Programming Concepts,Fundamentals
User input/Graphical,Programming Concepts,Fundamentals
User input/Text,Programming Concepts,Fundamentals
Validate International Securities Identification Number,Security and Cryptography,Cryptographic Techniques
Vampire number,Mathematics,Number Theory
Van Eck sequence,Mathematics,Mathematical Sequences and Series
Van der Corput sequence,Mathematics,Numerical Methods
Variable declaration reset,Programming Concepts,Fundamentals
Variable size/Get,Programming Concepts,Fundamentals
Variable size/Set,Programming Concepts,Fundamentals
Variable-length quantity,Algorithms and Data Structures,Algorithms
Variables,Programming Concepts,Fundamentals
Variadic function,Programming Concepts,Fundamentals
Vector,Mathematics,Geometry and Trigonometry
Vector products,Mathematics,Algebra and Arithmetic
Verhoeff algorithm,Mathematics,Algebra and Arithmetic
Verify distribution uniformity/Chi-squared test,Mathematics,Probability and Statistics
Verify distribution uniformity/Naive,Mathematics,Probability and Statistics
Video display modes,Operating Systems and Shell Programming,Operating System Concepts
Vigenère cipher,Security and Cryptography,Cryptographic Techniques
Vigenère cipher/Cryptanalysis,Security and Cryptography,Cryptographic Techniques
Visualize a tree,Graphics and Visualization,Data Visualization
Vogel's approximation method,Algorithms and Data Structures,Algorithms
Voronoi diagram,Graphics and Visualization,Graphics Programming
Walk a directory/Non-recursively,Systems Programming and File I/O,File Operations
Walk a directory/Recursively,Systems Programming and File I/O,File Operations
War card game,Puzzles and Games,Game Development
Water collected between towers,Puzzles and Games,Logic and Mathematical Puzzles
Web scraping,Networking and Web Development,Web Development
Weird numbers,Mathematics,Number Theory
Wieferich primes,Mathematics,Number Theory
Window creation,Graphics and Visualization,Graphics Programming
Window creation/X11,Systems Programming and File I/O,System Programming
Window management,Systems Programming and File I/O,System Programming
Wireworld,Puzzles and Games,Simulation and Modeling
Word frequency,Text Processing,String Manipulation
Word ladder,Puzzles and Games,Puzzle Solving Algorithms
Word search,Puzzles and Games,Puzzle Solving Algorithms
Word wheel,Puzzles and Games,Puzzle Solving Algorithms
Word wrap,Text Processing,String Manipulation
Wordiff,Puzzles and Games,Game Development
World Cup group stage,Puzzles and Games,Simulation and Modeling
Write entire file,Systems Programming and File I/O,File Operations
Write float arrays to a text file,Databases and Data Management,Data Serialization and Formats
Write language name in 3D ASCII,Graphics and Visualization,Graphics Programming
Write to Windows event log,Systems Programming and File I/O,File Operations
XML/DOM serialization,Text Processing,XML and Character Encoding
XML/Input,Text Processing,Parsing and Tokenization
XML/Output,Text Processing,XML Processing
XML/XPath,Text Processing,Parsing and Tokenization
Xiaolin Wu's line algorithm,Graphics and Visualization,Graphics Programming
Y combinator,Programming Concepts,Advanced Concepts
Yahoo! search interface,Networking and Web Development,Web Development
Yellowstone sequence,Mathematics,Combinatorics
Yin and yang,Puzzles and Games,Simulation and Modeling
Zebra puzzle,Puzzles and Games,Logic and Mathematical Puzzles
Zeckendorf arithmetic,Mathematics,Combinatorics
Zeckendorf number representation,Mathematics,Combinatorics
Zero to the zero power,Mathematics,Algebra and Arithmetic
Zhang-Suen thinning algorithm,Algorithms and Data Structures,Algorithms
Zig-zag matrix,Mathematics,Combinatorics
Zumkeller numbers,Mathematics,Number Theory
de Bruijn sequences,Mathematics,Combinatorics
